study_id,title,description
EGAS00001001836,identification  19 novel loci reveals gene regulatory mechanisms determining susceptibility  testicular germ cell tumour,"Testicular germ cell tumour (TGCT) is the most common cancer in young men1,2, and is characterised by strong inherited genetic risk factors3. Here we have undertaken large-scale genome wide association study (GWAS) for TGCT, encompassing ~7,500 cases and ~23,000 controls, through the Oncoarray consortium. We identified 19 novel loci, approximately doubling the number of known TGCT risk loci to 44 (P&lt;5x10-8)4-14 and conduct deep, high-throughput functional annotation of all risk loci. We establish a network of physical interactions for all risk SNPs to candidate casual genes in 3D space, using high-throughput chromosome conformation capture techniques (HiC) in TGCT cells. Firstly, functional evidence reveals widespread disruption of developmental transcriptional regulators, consistent with failed primordial germ cell differentiation as an initiating step in TGCT oncogenesis15. We secondly observe multiple risk loci associated with defective microtubule assembly, compatible with the high level of aneuploidy observed in TGCTs, suggesting gross chromosomal instability. Finally KIT-MAPK signalling features as a recurrently dysregulated pathway. In summary our findings substantially increase the number of known TGCT risk alleles, and provides a functional basis for disease susceptibility."
EGAS00001001302,identification    susceptibility loci  testicular germ cell tumour including variants  gab2 gspt1  zfpm1,"Genome wide association studies (GWAS) have identified multiple risk loci for testicular germ cell tumour (TGCT), revealing a polygenic model of disease susceptibility strongly influenced by common variation. To identify further SNPs associated with TGCT we conducted a multistage GWAS with a combined dataset of &gt;25,000 individuals (6,059 cases and 19,094 controls). We identified new risk loci for TGCT at 3q23 (rs11705932, TFDP2, P = 1.5 x 10-9), 11q14.1 (rs7107174, GAB2, P = 9.7 x 10-11), 16p13.13 (rs4561483, GSPT1, P = 1.6 x 10-8) and 16q24.2 (rs55637647, ZFPM1, P = 3.4 x 10-9). We additionally present detailed functional analysis of these loci, identifying a statistically significant relationship between rs4561483 risk genotype and increased GSPT1 expression in TGCT patient samples. These findings provide additional support for a polygenic model of TGCT risk and further insight into the biological basis of disease development."
EGAS00001000293,evaluation  size selection  cancer specific sequencing libraries,A couple of previously characterized and sequenced libraries will be repeated using a couple of differing size selection criteria and skim sequenced using an Illumina HiSeq. The resulting sequence will be analyzed to determine the optimal DNA library size for our specific downstream analysis.
EGAS00001002436,subclonal evolution   er breast cancers determined  wgs  scrna seq,"We analyzed the subclonal evolution of four ER+ breast cancers over 2-15 years using whole-genome sequencing (WGS) and single-cell RNA-Seq (scRNA-Seq). For each patient we analyzed 2-6 cancer samples, generally metastatic pleural effusions or ascites, by WGS, along with germline DNA. Two of the samples per patient were selected for single-cell RNA-Seq."
EGAS00001000194,radiotherapy induced sarcoma exome,Whole exome library making will be performed on genomic DNA derived from radiotherapy induced sarcoma samples and matched normal DNA from the same patients. Next Generation sequencing will be performed on the resulting libraries and mapped to build 37 of the human reference genome to facilitate the identification of mutations
EGAS00001000876,characterization  ipsc derived macrophages cardiovascular pilot,"This data is part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/"
EGAS00001001757,evolutionary genome analysis  transformation  small cell carcinomas  lung adenocarcinomas,"Anecdotal case have been reported lung adenocarcinoma could occasionally transform into small cell carcinoma. Most of the reported cases were EGFR-mutant lung adenocarcinomas that transform into small cell carcinoma during EGFR tyrosine kinase inhibitor treatment. However, some cases also indicate lung adenocarcinomas without EGFR mutation could also transform into small cell carcinomas. Here we investigate this transformation process by whole genome sequencing of transformed small cell carcinomas as well as serially acquired samples of lung adenocarcinoma into small cell carcinomas."
EGAS00001002338, genome sequence data  multifocal hepatocellular carcinoma,"Background &amp; Aims: The differentiation of distinct multifocal hepatocellular carcinoma (HCC): multicentric disease vs. intrahepatic metastases, in which the management and prognosis varies substantively, remains problematic. We aim to stratify multifocal HCC and identify novel diagnostic and prognostic biomarkers by performing whole genome and transcriptome sequencing, as part of a multi-omics strategy Methods: A complete collection of tumour and somatic specimens (intrahepatic HCC lesions, matched non-cancerous liver tissue and blood) were obtained from representative patientswith multifocal HCC exhibiting two distinct postsurgical courses. Whole-genome and transcriptome sequencing with genotyping were performed for each tissue specimen to con-trast genomic alterations, including hepatitis B virus integrations, somatic mutations, copy number variations, and structural variations. We then constructed a phylogenetic tree to visualise individual tumour evolution and performed functional enrichment analyses on select differentially expressed genes to elucidate biological processes involved in multifocal HCC development. Multi-omics data were integrated with detailed clinicopathological information to identify HCC biomarkers, which were further validated using a large cohort of HCC patients (n = 174).Results: The multi-omics pro?ling and tumour biomarkers could successfully distinguish the two multifocal HCC types, while accurately predicting clonality and aggressiveness. The dual speci?city protein kinase TTK, which is a key mitotic checkpoint regulator with links to p53 signaling, was further shown to be a promising overall prognostic marker for HCC in the large patient cohort.Conclusions: Comprehensive multi-omics characterisation of multifocal tumour evolution may improve clinical decision-making, facilitate personalised medicine, and expedite identi?cation of novel biomarkers and therapeutic targets in HCC."
EGAS00001001988,hipsci rnaseq congenital hyperinsulinia,"The HipSci project brings together diverse constituents in genomics, proteomics, cell biology and clinical genetics to create a UK national iPS cell resource and use it to carry out cellular genetic studies.  In this sub-study we perform RNAseq on iPS lines from Congenital hyperinsulinia  patients."
EGAS00001002356,recurrence testing familial melanoma,The two most commonly mutated genes in familial melanoma are CDKN2A and CDK4 which account for around 40% of the familial cases of the disease. We have sequenced the exomes of 41 individuals from 23 pedigrees that do not carry mutations in either of these genes in an attempt to discover new melanoma susceptibility loci. In this experiment we follow-up this analysis by sequencing 96 individuals for a selected set of genes.
EGAS00001002272,   mutation  mageb4      rare  linked azoospermia  oligozoospermia   consanguineous turkish family,"Purpose: The purpose of this study was to identify mutations that cause non-syndromic male infertility using whole exome sequencing of family cases.Methods: We recruited a consanguineous Turkish family comprising nine siblings with male triplets; two of the triplets were infertile as well as one younger infertile brother. Whole exome sequencing (WES) performed on two azoospermic brothers, identified a mutation in the MAGEB4 gene which was confirmed via Sanger sequencing and then screened for on control groups and unrelated infertile subjects. The effect of the mutation on mRNA and protein levels were tested after in vitro cell transfection. Structural features of MAGEB4 were predicted throughout the conserved MAGE domain.Results: The novel single base substitution (c.1041A&gt;T) in the X-linked MAGEB4 gene was identified as a no-stop mutation. The mutation is predicted to add 24 amino acids to the C-terminus of MAGEB4. Our functional studies were unable to detect any effect either on mRNA stability, intracellular localization of the protein or the ability to homo / heterodimerize with other MAGE proteins. We thus hypothesize that these additional amino acids may affect the proper protein interactions with MAGEB4 partners. Conclusion: The whole exome analysis of a consanguineous Turkish family revealed MAGEB4 as a possible new X-linked cause of inherited male infertility. This study provides the first clue to the physiological function of a MAGE protein."
EGAS00001002380,botswana 15 autosomal unlinked microsatellites,"Population structure was investigated in 990 Botswana individuals according to ethno-linguistics, Bantu and Khoisan, and geography (the nine administrative districts) using the AmpFLSTR Identifiler autosomal microsatellite markers. Genetic diversity and forensic parameters were calculated for the overall population, and according to ethno-linguistics and geography. The overall combined power of exclusion (CPE) was 0.9999965412 and the combined match probability 6,28 x 10-19. CPE was highest for the Khoisan Tuu ethnolinguistic group and the Northeast District at 0.9999582029 and 0.9999922652 respectively. CMP ranged from 6.28 x 10-19 (Khoisan Tuu) to 1,02 x 10-18 (Northwest district). Using pairwise genetic distances (FST), analysis of molecular variance (AMOVA), factorial correspondence analysis (FCA), and the unsupervised Bayesian clustering method found in  STRUCTURE and landscape genetics software TESS, ethno-linguistics were found to have a greater influence on population structure than geography. FCA showed clustering between Bantu and Khoisan, and within the Bantu. This Bantu sub-structuring was not seen with STRUCTURE and TESS, which detected clustering only between Bantu and Khoisan. The patterns of population structure revealed highlight the need for regional reference databases that include ethno-linguistic and geographic location information. These markers have important potential for bio-anthropological studies as well as for forensic applications."
EGAS00001002506,targeted  generation sequencing detects novel gene phenotype associations  expands  mutational spectrum  cardiomyopathie,"Cardiomyopathies are a heterogeneous group of primary diseases of the myocardium,including hypertrophic cardiomyopathy (HCM), dilated cardiomyopathy (DCM), andarrhythmogenic right ventricular cardiomyopathy (ARVC), with higher morbidity andmortality. These diseases are genetically diverse and associated with rare mutations ina large number of genes, many of which overlap among the phenotypes. To betterinvestigate the genetic overlap between these three phenotypes and to identify newgenotype-phenotype correlations, we designed a custom gene panel consisting of 115genes known to be associated with cardiomyopathic phenotypes and channelopathies.A cohort of 38 unrelated patients, 16 affected by DCM, 14 by HCM and 8 by ARVC,was recruited for the study on the basis of more severe phenotypes and family historyof cardiomyopathy and/or sudden death."
EGAS00001000903,genome diversity  africa project,"Globally, human populations show structured genetic diversity as a result of geographical dispersion, selection and drift. Understanding this genetic variation can provide insights into the evolutionary processes that shape both human adaptation and variation in disease. Populations from Africa have the highest levels of genetic diversity. This characteristic, in addition to historical genetic admixture, can lead to complexities in the design of studies assessing the genetic determinants of disease and human variation. However, such studies of African populations are also likely to provide new opportunities to discover novel disease susceptibility loci and variants and refine gene–disease association signals. A systematic assessment of genetic diversity within Africa would facilitate genomic epidemiological studies in the region.The Genome Diversity in Africa Project (GDAP) will extend and expand the African Genome Variation (AGV) project, an international collaboration aimed to produce a comprehensive catalogue of human genetic variation in Sub-Saharan Africa (SSA). Using a sequencing-based approach, GDA project aims to capture human genetic variation in Africa, including single nucleotide polymorphisms (SNPs), structural variants, and haplotypes. This resource will make a substantial contribution to understanding patterns of genetic diversity within and among populations in Africa, as well as providing a global resource to help design, implement and interpret genomic studies in African populations and studies comprising globally diverse populations, complementing existing genomic resources. Specifically, we plan to carry out whole genome sequencing of up to 2000 individuals across Africa (100 individuals from each ethnolinguistic group), and complement these data with 2.5M Illumina genotyping. We have already completed sequencing at low coverage (4x) of 700 individuals across SSA, we are now adding an additional 500 samples from up to 5 ethno-linguistic groups within Africa, including populations from Morocco, Ghana and Kenya.Our scientific objectives are to: 1) develop a resource that provides a comprehensive catalogue of genetic variation in populations from Africa accessible to the global scientific community; 2) characterise population genetic diversity, structure, gene flow and admixture across Africa; 3) develop a cost-efficient, next-generation genotype array for diverse populations across Africa; and 4) facilitate whole genome-sequencing association studies of complex traits and diseases by developing a reference panel for imputation and resource for enhancing fine-mapping disease susceptibility loci. These scientific objectives will be supported by cross-cutting operational activities, including network and management of the consortium, research ethics, and research capacity building in statistical genetics and bioinformatics."
EGAS00001002423,cisplatin increases sensitivity  fgfr inhibition  patient derived xenograft models  lung squamous cell carcinoma,"Lung squamous cell carcinoma (SqCC) is a molecularly complex and genomically unstable disease. No targeted therapy is currently approved for lung SqCC, although potential oncogenic drivers of SqCC have been identified, including amplification of the fibroblast growth factor receptor 1 (FGFR1). Reports from a recently completed clinical trial indicate low response rates in patients treated with FGFR tyrosine kinase inhibitors, suggesting inadequacy of FGFR1 amplification as a biomarker of response, or the need for combination treatment. We aimed to develop accurate models of lung SqCC and determine improved targeted therapies for these tumors. We show that detection of FGFR1 mRNA by RNA in situ hybridisation is a better predictor of response to FGFR inhibition than FGFR1 gene amplification using clinically relevant patient-derived xenograft (PDX) models of lung SqCC. FGFR1-overexpressing tumors were observed in all histological subtypes of non-small cell lung cancers (NSCLC) as assessed on a tissue microarray, indicating a broader range of tumors that may respond to FGFR inhibitors. In FGFR1-overexpressing PDX tumors, we observed increased differentiation and reduced proliferation following FGFR inhibition. Combination therapy with cisplatin was able to increase tumor cell death, and dramatically prolonged animal survival compared to single agent treatment. Our data suggest that FGFR tyrosine kinase inhibitors can benefit NSCLC patients with FGFR1-overexpressing tumors and provides a rationale for clinical trials combining cisplatin with FGFR inhibitors."
EGAS00001000999,rcor1 short description,RCOR1 abstract
EGAS00001002057,characterization  genomic landscape  peripheral t cell lymphomas    ptcl ,"Peripheral T-cell lymphomas not otherwise specified (PTCL-NOS) represent a heterogeneous group of nodal and extra-nodal mature T-cell lymphomas, with a low prevalence in Western countries. PTCL-NOSs account for about 25% of all PTCLs and are currently diagnosed based on exclusion criteria, as this lymphomas lack unifying morphological, phenotypic and genomic features. Cytogenetic and FISH analysis of PTCL-NOS samples have not revealed recurrent pathogenetic abnormalities, while gene expression profiling has shown only partial ability to segregate cases representing homogeneous clinic-pathological entities. This underscores the need to look at PTCL-NOS with innovative and high-throughput approaches to identify recurrent genetic lesions that could further our understanding of the biology of this heterogeneous group of diseases, provide better diagnostic tools and perhaps new targets for innovative treatments.
Our aim is to study ~15 patients affected by PTCL-NOS. Out study will be funded by a private, non-profit Italian cancer research fund (Associazione Italiana per la Ricerca sul Cancro, www.airc.it) based on a grant owned by Anna Dodero and Cristiana Carniti, hematologists at INT.
Samples will be analysed by whole genome sequencing using Illumina X10 machines, on a 150bp-PE protocol. Data will be analysed using the pipeline available in Team 78, under the supervision of Peter Campbell, the WTSI faculty who will oversee the project, and by Francesco Maura, visiting scientist at the WTSI."
EGAS00001000997,predicting hair colour phenotype  genotype,"There are multiple polymorphisms across the pigmentary genes that through complex interactions constitute hair colour of an individual. For many years both in the anthropological and forensic field hair colour prediction from DNA has been a subjects of a number of publications. Here we present a prediction tool in a form of a mathematical model incorporating genotype of selected single nucleotide polymorphisms (SNPs) to determine hair colour. 22 SNPs within genes involved in human pigmentation were genotyped in a group of 186 Polish subjects representing different shades of hair colour. Based on the results genotype-phenotype association analysis was performed and multinomial logistic regression model for hair colour prediction from a set of SNPs was created. We identified seven variants highly associated with different hair colour categories. The obtained model utilized 11 genetic variants to categorize hair colour of an individual into one of the three established categories: red, blond and dark. Validation of our model showed good prediction accuracies expressed as area under the curve (AUC) of the receiver operating characteristic, this is AUC of 0.87 for the red haired, 0.84 for the dark haired and 0.77 for blond haired; this results are comparable with the parameters of other prediction models published in the recent years. Our model utilizes small number of genetic variants, allows for a reasonably accurate identification of hair colour and incorporates additional informative polymorphisms used for the first time as markers in a hair colour prediction model."
EGAS00001002190,widespread dna hypomethylation  differential gene expression  turner syndrome,"Adults with 45,X monosomy (Turner syndrome) reflect a surviving minority since more than 99% of fetuses with 45,X monosomy die in utero. In adulthood 45,X monosomy is associated with increased morbidity and mortality, although strikingly heterogeneous with some individuals left untouched while others suffer from cardiovascular disease, autoimmune disease and infertility. The present study investigates the leukocyte DNAmethylation profile by using the 450K-Illumina Infinium assay and the leukocyte RNA-expression profile in 45,X monosomy compared with karyotypically normal female and male controls. We present results illustrating that genome wide X-chromosome RNA-expression profile, autosomal DNA-methylation profile, and the X-chromosome methylation profile clearly distinguish Turner syndrome from controls. Our results reveal genome wide hypomethylation with most differentially methylated positions showing a medium level of methylation. Contrary to previous studies, applying a single loci specific analysis at well-defined DNA loci, our results indicate that the hypomethylation extend to repetitive elements. We describe novel candidate genes that could be involved in comorbidity in TS and explain congenital urinary malformations (PRKX), premature ovarian failure (KDM6A), and aortic aneurysm formation (ZFYVE9 and TIMP1)"
EGAS00001002197,oncogenic gene fusions  primary colon cancers,"This study represents RNA-sequencing data from 278 primary colon cancers obtained from fresh-frozen tumor sections. The project goal was to identify novel oncogenic gene fusions in these data. In addition, we studied the detected gene fusions at the molecular level and defined their effects on downstream pathways."
EGAS00001003082,psc  ibd extension,"Primary sclerosing cholangitis (PSC) is a T-cell mediated, chronic inflammatory condition of the biliary tree that is strongly associated with inflammatory bowel disease. Here we intend to sequence 460 RNA samples, with RNA from six different T cell populations drawn from 80 individuals. These studies will help us identify the mechanisms and genes impacted by non-coding variants associated with PSC serving to increase biological understanding of the disease and potentially identify therapeutic targets.
This data is part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/"
EGAS00001002301, hccs  taiwan   mutational signature  aristolochic acid,"Plants in the genus Aristolochia contain the mutagen aristolochic acid (AA) and have been widely used in traditional medicines and for weight loss. AA binds covalently to genomic DNA and induces a highly distinctive mutational signature. While AA involvement in urinary-tract cancers in Taiwan is known, the possible role of AA in hepatocellular carcinomas (HCCs) in Taiwan has not been examined. Here, we whole-exome sequenced 98 unselected HCCs from Taiwan and analyzed the mutational signatures for evidence of AA mutagenesis. Remarkably, more than 78% of HCCs showed strong evidence of AA mutagenesis, often associated with high mutation burdens. Non-synonymous mutations in genes known to be HCC driver genes were detected. Importantly, we elucidated the potential of immunotherapy in this cohort of liver cancer patients."
EGAS00001003289,synthetic rna modulators  gene function  pilot study,"While the scale of GWAS, and number of discovered loci associated with traits has substantially increased over the past decade, functional validation, and understanding of underlying biology driving these associations has lagged behind; limiting translation of these discoveries into therapeutic applications. In this context, synthetic RNA modulators of gene function provide an efficient, and high-throughput mechanism for validation of discoveries in cellular models, providing a platform for interrogation and translation of findings from GWAS, into therapeutic applications within an integrated platform. An improvement in our understanding of the regulation of gene functions by different types of RNA modulators, and the technological development in the field of synthetic RNA molecules, has enabled high-throughput functional assays of cellular phenotypes in multiple cellular models, as well as opportunities to translate these discoveries directly into therapeutics. Complementary to this, recent development of deep learning approaches to effectively predict miRNA-target associations (Rayner et al., 2017) and promoter regions have provided a rich database of computationally predicted modulators of gene function for functional validation. We propose a high-throughput screen of 380 synthetic RNA molecules across 15 genes identified as associated with cardiometabolic and other traits through multiple lines of evidence (GWAS, eQTL, functional studies, and/or mouse phenotyping). We will use a range of synthetic RNA molecules to target a set of genes of interest in cellular models (HepG2 cell lines), to examine changes in target gene expression (efficacy), immunogenicity and cell-viability. Promoters will be identified through existing databases, and deep learning and bioinformatics approaches; we will also use predicted miRNA-target associations identified through deep learning frameworks trained on experimental evidence (Rayner et al., 2017), as part of an established collaboration. Alongside integrated genetic and EHR data, such datasets provide the opportunity to align multidimensional data to understand loci associated with disease, and identify potential therapeutic targets.
This data is part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/"
EGAS00001003143,oicr test,NA
EGAS00001001853,australia   guinea haplotype phasing,"Whole-genome sequencing and phasing of admixed Aboriginal Australian genomes and Papua New Guinean genomes using 10x Genomics Chromium technology.
This data is part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute please see http://www.sanger.ac.uk/datasharing/"
EGAS00001002481,cnv detection  targeted ngs panel data,"The aim of this study was to compare copy-number-variation (CNV) detection methods for targeted NGS panel data in a clinical diagnostic setting. We present targeted NGS panel data from 170 samples that were processed using the TruSight(TM) Cancer (TSC) panel (Illumina, San Diego, CA, USA), which targets 94 genes and 284 SNPs associated with a predisposition towards cancer. The samples are enriched for CNVs in the genes of interest. All CNVs have previously been assessed with MLPA and can therefore be considered as confirmed."
EGAS00001001675,amplicon based sequencing  drug resistant lung cancer cell lines,A EGFR mutant NSCLC cell line which is sensitive to AZD9291 inhibition was mutagenised with the chemical mutagen ENU and then drug selected using a AZD9291. Single cell derived colonies were then manually picked and expanded in drug. Resistance was confirmed in a 14 day assay and DNA was collected. These then underwent targeted amplicon-based sequencing to confirm candidate resistance effectors hypothesised from currently available literature.
EGAS00001002246,indonesian sea nomads genomic history,"This study observes the origin of the last living sea nomad group in Indonesia using genome-wide SNP data, and tracks their dispersal in the archipelago. This study involves new samples on not only the sea nomad group, but also surrounding populations where the sea nomad settled. We revealed the scenario of their origin and unique admixture patterns during their dispersal and re-settlement."
EGAS00001002299,mesothelioma genomics study wgs tumour normal pairs,"Malignant mesothelioma (MM) is an incurable and aggressive tumour that occurs principally in the pleura as a consequence of inhaling asbestos fibres. There are &gt;15,000 cases per annum worldwide, the incidence is increasing and Australia has one of the world's highest incidence rates. Surgery, chemotherapy and radiotherapy (or their combinations) all feature in the clinical management but do not impact significantly on overall survival. This study uses whole genome sequencing (WGS) with the aim of identifying mesothelioma-related genomic alterations and potentially identifying novel treatment strategies."
EGAS00001001982,hipsci  exome sequencing macular dystrophy,"The HipSci project brings together diverse constituents in genomics, proteomics, cell biology and clinical genetics to create a UK national iPS cell resource and use it to carry out cellular genetic studies.  In this sub-study we perform whole exome sequencing using Agilent whole exome pulldown method on iPS cells generated from skin biopsies or blood samples from rare disease patients diagnosed with Macular dystrophy"
EGAS00001000934,predict  genomes,PREDICT/Predicting individual response and resistance to VEGFR/mTOR pathway therapeutic intervention using biomarkers discovered through tumour functional genomics.
EGAS00001001655,rna seq analysis  transcriptome variation  human esc subclones,"Many studies over the past 10 years, culminating in the recent report of the International Stem Cell Initiative (ISCI, 2011) have shown that hPSC acquire genetic and epigenetic changes during their time in culture. Many of the genetic changes are non-random and recurrent, probably because they provide a selective growth advantage to the undifferentiated cells. Some are shared by embryonal carcinoma cells, the malignant counterparts of ES cells. The origins of these growth advantages are poorly understood, but may come from altered cell cycle dynamics, resistance to apoptosis or altered patterns of differentiation. Less is known about the nature and consequences of epigenetic changes, but it is likely that these similarly affect hPSC behaviour; e.g., enhanced expression of DLK1, an imprinted gene, is associated with altered hPSC growth (Enver et al 2005). Inevitably, these genetic and epigenetic changes will impact on our ability to use hPSC for regenerative medicine, either because malignant transformation of the undifferentiated cells or their differentiated derivatives to be used for transplantation compromises safety, or because they impede the function of those differentiated derivatives, or because they affect the efficiency with which the undifferentiated cells can be expanded and differentiated into desired cell types. Focusing initially upon the existing clinical grade hESC lines, later moving to iPSC, we will Consolidate and extend knowledge of the rate, type and functional impact of the genetic variations that occur during hPSC culture. We will use whole genome and exome sequencing as well as SNP arrays, together with clonal analysis and other cytogenetics techniques. Common changes will be compared with those found in the normal human population, at low frequency in the original cell population or observed during iPSC generation in the HIPSCI project currently based at the WTSI. These studies will provide a better understanding of the range of genetic changes that occur in hPSC beyond the CNVs already identified. In conjunction with cancer genome resources and expertise at WTSI, bioinformatic analyses of these hPSC data will allow us to assess potential impact on hPSC behaviour pertinent to applications in regenerative medicine, notably the likelihood that specific changes arising in undifferentiated PSC cultures may be associated with potential malignant transformation of differentiated progenyThis data is part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/"
EGAS00001003261,exploring  landscape  somatic mutations  normal tissue gi chemotherapy wes,Somatic mutations (driver mutations) and clonal dynamics in normal human tissues from the gastrointestinal tract of individuals exposed to chemotherapy and other known genotoxins.
EGAS00001001722,pancancer analysis   genomes edit,
EGAS00001001981,hipsci  exome sequencing kabuki,"The HipSci project brings together diverse constituents in genomics, proteomics, cell biology and clinical genetics to create a UK national iPS cell resource and use it to carry out cellular genetic studies.  In this sub-study we perform whole exome sequencing using Agilent whole exome pulldown method on iPS cells generated from skin biopsies or blood samples from rare disease patients diagnosed with Kabuki syndrome"
EGAS00001001572,distinct portrayal  lesions  synchronous multifocal lung adenocarcinoma revealed  genome sequencing,"Distinguishing multiple primary lung cancers in the synchronous multifocal intrapulmonary lesions has important significance on clinical staging and therapeutic decision. To investigate genomic aberration profiles, we applied whole genome and whole exome sequencing, and microarray-based comparative genomic hybridization on 15 intrapulmonary tumors derived from six patients with synchronous multifocal lung cancers having similar histological diagnosis. Any pair of intrapulmonary tumors in a single patient, which shared the identical genetic background and environment, showed an extinctive heterogeneity between each other. Phylogenetic relationship analysis indicated an independently branched evolution among all the tumors, suggesting they were multiple primary lung cancers. EGFR or KRAS mutations were found in 7 or 3 out of the 15 tumors, from 3 or 2 patients, respectively. Somatic mutational heterogeneity of these two genes in a single patient was also observed.  Our analysis indicates genomic aberration profiling is valuable for identification of multiple primary lung cancer, especially when high histopathological concordance was observed between lesions.  We also suggest a thoroughly molecular diagnosis against therapeutic target genes should be taken for each accessible nodule before making a plan for adjuvant therapy."
EGAS00001002164, genetic landscape  bcl2 break negative follicular lymphoma,"Background: 15% of high and 50% of low stage FL lack the t(14;18). Nevertheless, most of these cases express BCL2 by so far unknown mechanisms. Principals/Methodology: To find molecular mechanisms, triggering FL-pathogenesis in t(14;18)-negative FL, the exonic SNV-profiles of 33 FL with and 16 FL without t(14;18) were assessed by whole exome-sequencing and external SNV-data integration. The SNV-profile of the whole exome-sequenced FL was correlated with copy number, LOH and gene-expression data. Finally, the N-glycosylation status was assessed (LympTrack assay) in a separate validation cohort. Results: SNVs in FL with and without t(14;18) affected different genes, but accumulated in similar pathways, e.g. apoptosis, epigenetic processes and cell cycle/proliferation. Mutations in genes associated with immune-response were more prominently and those associated with NFkB and N-glycosylation selectively enriched in t(14;18)-negative FL. ~50% of mutated genes showed BCL2-asociation at high confidence in FL with and without t(14;18). Moreover, among the genes mutated in t(14;18)-negative FL 555 (~1/3) were affected by copy number alterations and/or copy-neutral LOH, 125 were differently expressed between FL with and without t(14;18) (p&lt;0.01) and 62 were differentially expressed and affected by copy number alterations and/or copy-neutral LOH. N-glycosylation was strongly reduced in t(14;18)-negative FL as compared to results reported for historical FL cohorts. Conclusion: These results suggest a stronger crosstalk with the microenvironment that may compensate for the lack of N-glycosylation and a diverse portfolio of SNVs that may contribute to the upregulation of BCL2 and FL pathogenesis in t(14;18)-negative FL."
EGAS00001002496,h3k27ac chip seq  tmprss2 erg positive  negative prostate cancer tissue samples,"The TMPRSS2:ERG (T2E) structural rearrangements typifies  ~50% of prostate tumors and results in overexpression of the ERG transcription factor. Using chromatin data collected in T2E and non-T2E primary prostate tumors, we show a distinct cis-regulatory landscape between T2E and non-T2E, inclusive of Cluster Of Regulatory Elements (COREs). This is mediated by ERG co-option of HOXB13 and FOXA1 implementing a T2E-specific transcriptional profile. We also report a T2E-specific CORE on the structurally rearranged ERG locus arising from spreading of the TMPRSS2 locus pre-existing CORE, assisting in its overexpression. Finally, we show that the T2E-specific cis-regulatory landscape reveals a vulnerability against the NOTCH pathway. Taken together, our work shows that overexpressed ERG co-opts master transcription factors to deploy a unique cis-regulatory landscape inducing a druggable dependency on NOTCH signaling in T2E prostate tumors."
EGAS00001002414,chip seq data  multiple myeloma  plasma cell leukaemia cell lines,"ChIP-seq data (H3K4Me1, H3K4Me3, H3K27Ac histone modifications) on multiple myeloma cell line KMS11 and plasma cell leukaemia cell lines L363 and JJN3"
EGAS00001002067, exome sequencing  clarification  rare   axonal charcot marie tooth disease,"The project is focused on the axonal forms of Charcot-Marie-Tooth (CMT) disease.  We have selected 13 families (7 from Spain and 6 from Czech Republic) that have been indepth clinically assessed and previously tested for mutations in known CMT genes without causal variants characterised.  In these patients we expect to discover several CMT2 genes.  Thus, we requested for exome sequencing of 45 DNAs:27 exomes in families from Spain and 18 exomes in the families from Czech Republic.

This data is part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/"
EGAS00001002686,dna methylation data  ucl bladder cancer project,"Bladder cancer (BC) is one of the most common cancers in the western world and ranks as the most expensive to manage, due to the need for cystoscopic examination. BC show frequent changes in DNA methylation and several studies have shown the potential utility of urinary biomarkers by detecting epigenetic alterations in voided urine. The aim of this study is to assess the epigenetic diversity in bladder cancer to improve the detection and surveillance of bladder cancer"
EGAS00001001587,papuan genotyping,"By array based genotyping of indigenous individuals from different areas of Papua New Guinea, this project aims to provide the most comprehensive overview thus far of population structure and history in this part of the world.  Papuans represent a key component in the current understanding of human history outside of Africa. Additionally, PNG harbours enormous cultural and linguistic diversity. Genotyping of diverse individuals, combined with previously generated whole-genome sequencing data, will allow the study of general patterns of population structure, the degree of genetic differentiation between groups, the extent of external gene flow into PNG and the genetic relationships to Australian Aboriginals.This data is part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/"
EGAS00001002598,illumina hiseqx  hiseq 2000  genome sequence data  3 001 als samples including 212   c9orf72 repeat expansions,"Whole genome sequence (WGS) data was generated on 3,001 samples previously quantified for the presence of the C9orf72 repeat expansion (212 expanded and 2,789 wild type), These samples were sequenced using a combination of 2x100bp reads on an Illumina HiSeq2000 and 2x150bp reads on an Illumina HiSeqX sequencer. The repeat expansions were called using ExpansionHunter to demonstrate the ability to call large repeats from high throughput, WGS data. Provided here are all read pairs where at least one of the reads aligns within 1kb of the C9orf72 repeat expansion in addition to reads aligned in pre-determined off target locations where the aligners are known to mis-align reads."
